gene,importance
COL16A1,0.00029621107268175395
PTGIS,0.00029539378248012195
PGGHG,0.00029535214933692583
CD248,0.0002948971094475256
AARD,0.00029347922663541164
EPB41L2,0.0002930792841815121
RNASE6,0.00029267543405884285
CHKB,0.000292577841361437
PRKCB,0.00029217392338301313
ANPEP,0.00029169592150632564
TGFB3,0.0002916007405973883
MUC19,0.0002914191658382375
CPE,0.00029103522785615103
LINC00645,0.00028919285932002905
PLS3,0.0002883812186661168
PALM,0.0002870313344267254
RIN3,0.0002867181144425092
LGALS9,0.0002862051247021767
CSF1,0.00028595548748406533
MVD,0.00028496402247490195
NR4A1,0.0002849480475170044
LAMA4,0.00028482174013953857
SH3KBP1,0.0002842493160236509
CRISPLD2,0.000283677524630759
BDP1,0.0002830148746999642
HTRA3,0.0002811221665328893
LAMB1,0.00028035695585573316
SLITRK6,0.0002777515761275198
EPAS1,0.00027448132487071125
TCIRG1,0.00027426868870985275
ECM1,0.0002736832461557437
TFE3,0.00027346228795172375
ZNF350-AS1,0.0002723394927194026
ETS2,0.00027175527537187454
FOXP1,0.00027098223086400187
FYN,0.00027079297105970276
RELA,0.0002702269902369232
IGFBP6,0.00027008552045752635
CLDN5,0.0002684016976651637
AIP,0.0002659722734586695
PHF1,0.0002655023696153222
PTGES,0.0002638875905242861
CALD1,0.0002638137379219106
HECTD1,0.00026315807465106977
PLXDC2,0.00026300155936123464
ICMT,0.00026161678014602043
RUNX1,0.00026148366903488464
COL15A1,0.0002608113708604885
IGHG2,0.0002602418598918672
ADH1B,0.00025970971204861777
SMOC2,0.0002596309912803168
DEPP1,0.0002594907350058107
MGST1,0.0002593983895308034
RBM25,0.0002582655646355729
CORO7,0.00025811823893638814
SUGP2,0.00025761423794739885
KMT2C,0.00025721109272541
IFFO1,0.00025626609844229647
TOP3B,0.0002560189088027075
IFIT2,0.00025596906533094155
RAB27A,0.00025497845679015984
PRELP,0.000253651384352841
PLA2G2D,0.000250944807220159
MEG3,0.0002506665286111128
CCN1,0.0002506637653114483
CEP350,0.0002501778109785121
ABLIM1,0.0002490315995611323
COL12A1,0.0002478481600639151
EIF5B,0.0002475365377493159
ABCB8,0.0002472903016966673
TGFBI,0.0002466867371733047
ITGA5,0.00024588864403657953
RRM2,0.0002446899941410133
PIK3CD,0.00024250010222108732
IL4R,0.00024201570184105486
COL8A1,0.0002402511992485488
ARID5B,0.0002396271034434275
MX2,0.00023880631273347195
ICAM1,0.00023868949122020722
PLCG1,0.00023868349013621209
HSPA6,0.00023857170058651464
MAP4K4,0.00023755010443215005
FMOD,0.00023716789095465498
CD79A,0.00023693236497680922
GIMAP1,0.00023623775435746956
CCL18,0.0002355882719372611
PCNX1,0.00023550842463520164
CAVIN3,0.00023522080550032067
NDUFA4L2,0.0002345343933364806
ST6GALNAC4,0.00023338962617708533
FES,0.00023334895738686578
SNTB2,0.00023087488930437203
FLCN,0.0002281869180631528
SIT1,0.0002268551078054582
LIMS1,0.00022667971772780774
DERL3,0.000225628713282512
ERP27,0.00022506594554188759
CLEC11A,0.00022445621066545656
C11orf68,0.00022272142854106423
SRPX,0.00022262135378884224
ARRDC3,0.00022172708247884161
SPON2,0.00022025435637537568
SERPINE2,0.00022017604019018708
TRAF5,0.00021985976972420902
AHR,0.0002197869722745736
NABP1,0.00021836343461028562
CD163L1,0.00021766344019044306
CD93,0.00021676244706825452
CCR7,0.00021673858626355602
FOLR2,0.00021636783137439914
FAP,0.0002142325691996235
MAN1A1,0.00021400255605398503
SUSD2,0.00021320799810470813
FAM78A,0.00021319315010385022
SLIT3,0.0002131202459752023
RGS16,0.00021219176662443833
INAFM1,0.00021212089869764505
NFKBIE,0.0002115943521428207
KIAA1755,0.00021126684260411337
SULF2,0.00020992221737487198
MMP7,0.00020907613383715145
FGFR4,0.00020810194687207937
PLAC9,0.00020754999500655012
CXCL13,0.00020744771091175327
TNFRSF25,0.00020660181396953446
WFDC2,0.00020657327110276252
KMT2A,0.00020606985615210605
RAB8B,0.00020388082368297993
PHLDB1,0.0002035771427824909
LIMS2,0.0002032022576790284
TMEM255B,0.00020318291082354562
ICAM3,0.0002031724054826685
VCL,0.0002023105447535727
LYL1,0.00020202282084952726
LTBP4,0.00020170140835461676
LRRC32,0.0002016655021670987
MEGF6,0.0002003297090972968
PDGFRA,0.00019958117674426988
GNG2,0.00019954553108902844
PITPNM1,0.00019949864778288456
LARP7,0.00019775664628130142
SHLD2,0.00019710693752605498
DPYSL3,0.00019701894864756776
TAF1D,0.00019625634153175954
ZNF446,0.0001942862076507939
DNAJC4,0.0001942681015092738
ATF3,0.00019326432201646673
SOD3,0.00019265533567381518
AC020916.1,0.0001918676149929852
FABP5,0.00019173530449377766
RCAN2,0.0001913492417494975
JAG1,0.0001907888081523595
OLFML2B,0.00019062274804552208
P3H1,0.00019048791940766687
LHFPL6,0.00019046226946507503
LMCD1,0.00018982233028127794
ITM2A,0.00018940051810640993
TM4SF1,0.00018864780489781592
ZBTB48,0.000187335667157495
SYNPO2,0.00018608810028970254
TRAF3IP3,0.00018466039530298922
MMRN1,0.0001841629155499966
FAM98A,0.00018349760504518973
ID1,0.0001833988409338234
ITGBL1,0.0001826153047892538
PROSER1,0.0001816123644812856
BMPR2,0.00018153392890617962
MAP3K8,0.0001814371477902615
PER1,0.0001808563968945867
RASGRP2,0.0001806162839801697
ROBO4,0.00018010297823832492
GCC2,0.00017991151136427427
C6orf141,0.0001780368855575044
GEMIN8,0.0001777963551614537
AC087379.2,0.0001766584803338988
FOSB,0.00017543280418827502
LHPP,0.00017492142390657998
MRC1,0.00017472149144725255
ADAM17,0.0001742181786148639
CRIM1,0.00017375704290616617
PLEKHO2,0.00017373688034244382
